Qwen麻雀対局: 3局, Qwenは席0
モデル: qwen3:1.7b

>>>>> 第1局開始 <<<<<
  [Qwen] 打m7
  [Qwen] 打m9
  [Qwen] 打p1
  [Qwen] 打p3
  [Qwen] 打m4
  [Qwen] 打m3
  [Qwen] 打p4
  [Qwen] 打p5
  [Qwen] 鳴き:s777+
  [Qwen] 鳴き後打p5
  [Qwen] 打s1
  [Qwen] 打s1
  [Qwen] 打s3
  [Qwen] 打p1
  [Qwen] 打m4
  [Qwen] 打m1
  [Qwen] 打p1
  [Qwen] 打p3
  [Qwen] 打m2
  [Qwen] 打p4
  [Qwen] 打m3
  [Qwen] 打m1
  [Qwen] 打p8
  [Qwen] 打p8
  [Qwen] 打s3
  [Qwen] 打m4
  [Qwen] 打m8
  [Qwen] 打p1
  [Qwen] 打p2
  [Qwen] 打m2
  [Qwen] 打z2
  [Qwen] 打m3
  [Qwen] 打m3
  [Qwen] 打m6
  [Qwen] 打p1
  [Qwen] 打p1
  [Qwen] 打m3
  [Qwen] 打m4
  [Qwen] 打m3
  [Qwen] 鳴き:s888-
  [Qwen] 鳴き後打m6
  [Qwen] 打m7
  [Qwen] 打m8
  [Qwen] 打p6
  [Qwen] 打m9
  [Qwen] 打m9
  [Qwen] 打p1
  [Qwen] 打p6
  [Qwen] 打m3
  [Qwen] 打m9
  [Qwen] 打m9
  [Qwen] 打p1
  [Qwen] 打p6
  [Qwen] 鳴き:s45-6
  [Qwen] 鳴き後打p9
  [Qwen] 打s1
  [Qwen] 打s2
  [Qwen] 打m3
  [Qwen] 打s8
  [Qwen] 打s7
  [Qwen] 打p8
  [Qwen] 打s8
  [Qwen] 打m1
  [Qwen] 打m1
  [Qwen] 打m2
  [Qwen] 打m3
  [Qwen] 打m4
  [Qwen] 鳴き:m6-78
  [Qwen] 鳴き後打p7
  [Qwen] 打m9
  [Qwen] 鳴き:s067-
  [Qwen] 鳴き後打p9
  [Qwen] 打m2
  [Qwen] 打m4
  [Qwen] 打m5
  [Qwen] 打m6
  [Qwen] 打m9
  [Qwen] 打m3
  [Qwen] 打m9
  [Qwen] 打p1
  [Qwen] 打p2
  [Qwen] 打p3
  [Qwen] 打m5
  [Qwen] 打p2
  [Qwen] 打p1
  [Qwen] 打p5
  [Qwen] 打p8
  [Qwen] 打p5
  [Qwen] 打s1
  [Qwen] 打m4
  [Qwen] 打m7
  [Qwen] 打m8
  [Qwen] 打m5
  [Qwen] 打m9
  [Qwen] 打m4
  [Qwen] 打m9
  [Qwen] 打p1
  [Qwen] 打m0
  [Qwen] 打p3
  [Qwen] 打p7
  [Qwen] 打m3
  [Qwen] 打s2
  [Qwen] 打s2
  [Qwen] 打s2
  [Qwen] 打s1
  [Qwen] 打p8
  [Qwen] 打m1
  [Qwen] 打m9
  [Qwen] 打m2
  [Qwen] 打m3
  [Qwen] 打m3
  [Qwen] 打m7
  [Qwen] 打p2
  [Qwen] 鳴き:p2-34
  [Qwen] 鳴き後打p4
  [Qwen] 打p7
  [Qwen] 打m1
  [Qwen] 打m3
  [Qwen] 打m5
  [Qwen] 打p1
  [Qwen] 打p1
  [Qwen] 打p3
  [Qwen] 打m9
  [Qwen] 鳴き:s888=
  [Qwen] 鳴き後打p9
  [Qwen] カン:s888=8
  [Qwen] 打s1
  [Qwen] 打m1
  [Qwen] 打m1
  [Qwen] 打m3
  [Qwen] 打p2
  [Qwen] 打m7
  [Qwen] 打m9
  [Qwen] 打z5
  [Qwen] 打m7
  [Qwen] 打p1
  [Qwen] 打p4
  [Qwen] 打p7
  [Qwen] 打z5
  [Qwen] 打m1
  [Qwen] 打m3
  [Qwen] 打m4
  [Qwen] 打m8
  [Qwen] 打m9
  [Qwen] 打p1
  [Qwen] 打p2
  [Qwen] 打p3
  [Qwen] 打p0
  [Qwen] 打p5
  [Qwen] 打m4
  [Qwen] 打p6
  [Qwen] 打p8
  [Qwen] 打p3
  [Qwen] 打m9
  [Qwen] 打p4

===== 第1局終了 =====
  [Qwen] Qwen: -3300点 (4位, -53.3)
  [AI]   下家: 16200点 (3位, -23.8)
  [AI]   対面: 47700点 (1位, +57.7)
  [AI]   上家: 39400点 (2位, +19.4)

>>>>> 第2局開始 <<<<<
  [Qwen] 打m6
  [Qwen] 打m2
  [Qwen] 打z2
  [Qwen] 打m3
  [Qwen] 打m6
  [Qwen] 打p1
  [Qwen] 打p0
  [Qwen] 打p5
  [Qwen] 打m1
  [Qwen] 打m1
  [Qwen] 打p5
  [Qwen] 打m8
  [Qwen] 打p6
  [Qwen] 打p6
  [Qwen] 打s1
  [Qwen] 打p3
  [Qwen] 打s2
  [Qwen] 打m1
  [Qwen] 打m1
  [Qwen] 打m3
  [Qwen] 打m4
  [Qwen] 打m7
  [Qwen] 打p1
  [Qwen] 打p2
  [Qwen] 打m3
  [Qwen] 打p2
