Qwen麻雀対局: 3局, Qwenは席0
モデル: qwen3:14b

>>>>> 第1局開始 <<<<<
  [Qwen] 打m6_
  [Qwen] 打m9_
  [Qwen] 打s8
  [Qwen] 打m7
  [Qwen] 打m2_
  [Qwen] 打z4_
  [Qwen] 打m7_
  [Qwen] 打p8
  [Qwen] 打m2
  [Qwen] 打s2_
  [Qwen] 打p3
  [Qwen] 打s9_
  [Qwen] 打m4_
  [Qwen] 打m7_
  [Qwen] 打s7_
  [Qwen] 打m4_
  [Qwen] 打s0
  [Qwen] 打m5
  [Qwen] 打m3
  [Qwen] 打s6
  [Qwen] 打m7_
  [Qwen] 打s4_
  [Qwen] 打s4_
  [Qwen] 打m3
  [Qwen] 打m2_
  [Qwen] 打m2_
  [Qwen] 打m7
  [Qwen] 打m8
  [Qwen] 打p3_
  [Qwen] 打z6
  [Qwen] 打s6
  [Qwen] 打s4
  [Qwen] 打s1_
  [Qwen] 打s1_
  [Qwen] 打p9
  [Qwen] 打s9_
  [Qwen] 打m5
  [Qwen] 打p7_
  [Qwen] 打p3_
  [Qwen] 打z6
  [Qwen] 打p1
  [Qwen] 打z7_
  [Qwen] 打z7
  [Qwen] 打m3
  [Qwen] 打z6
  [Qwen] 打p0
  [Qwen] 打p6
  [Qwen] 打z3_
  [Qwen] 打p2
  [Qwen] 打m7
  [Qwen] 打m9_
  [Qwen] 打s6
  [Qwen] 打s5
  [Qwen] 打m6_
  [Qwen] 打s8_
  [Qwen] 打s7_
  [Qwen] 打m1
  [Qwen] 打m3
  [Qwen] 打m7_
  [Qwen] 打m6
  [Qwen] 打s9
  [Qwen] 打s3_
  [Qwen] 打s2_
  [Qwen] 打s1_
  [Qwen] 打m1
  [Qwen] 打m1
  [Qwen] 打m4
  [Qwen] 打s3_
  [Qwen] 打m7
  [Qwen] 打s9
  [Qwen] 打m7
  [Qwen] 打m2
  [Qwen] 打m2
  [Qwen] 打s4_
  [Qwen] 打s7_
  [Qwen] 打p5
  [Qwen] 打m4
  [Qwen] 打m7_
  [Qwen] 打m2
  [Qwen] 打p6
  [Qwen] 打m1
  [Qwen] 打m4_
  [Qwen] 打s4
  [Qwen] 打s2
  [Qwen] 打p3
  [Qwen] 打s3_
  [Qwen] 打m3_
  [Qwen] 打m0_
  [Qwen] 打s2
  [Qwen] 打p6_
  [Qwen] 打p1
  [Qwen] 打z5_
  [Qwen] 打m4_
  [Qwen] 打m4
  [Qwen] 打m7_
  [Qwen] 打m5_
  [Qwen] 打s4_
  [Qwen] 打m1
  [Qwen] 打s6
  [Qwen] 打m3
  [Qwen] 打p3
  [Qwen] 打m6_
  [Qwen] 打m9_
  [Qwen] 打z3
  [Qwen] 打p6
  [Qwen] 打s5_
  [Qwen] 打p6_
  [Qwen] 打m6
  [Qwen] 打m3
  [Qwen] 打m1
  [Qwen] 打m1
  [Qwen] 打m3
  [Qwen] 打s7
  [Qwen] 打s8
  [Qwen] 打m7
  [Qwen] 打p3_
  [Qwen] 打p5
  [Qwen] 打s9
  [Qwen] 打s7
  [Qwen] 打s5
  [Qwen] 打m6
  [Qwen] 打m7
  [Qwen] 打m9
  [Qwen] 打s9
  [Qwen] 打m2
  [Qwen] 打m7_

===== 第1局終了 =====
  [Qwen] Qwen: 6800点 (4位, -43.2)
  [AI]   下家: 37200点 (1位, +47.2)
  [AI]   対面: 32600点 (2位, +12.6)
  [AI]   上家: 23400点 (3位, -16.6)

>>>>> 第2局開始 <<<<<
  [Qwen] 打s6
  [Qwen] 打s3_
  [Qwen] 打p4
  [Qwen] 打m6
  [Qwen] 打m4_
  [Qwen] 打s0
  [Qwen] 打p3
  [Qwen] 打p6_
  [Qwen] 打z6
  [Qwen] 打m3_
  [Qwen] 打s8_
  [Qwen] 打s2_
  [Qwen] 打s4_
  [Qwen] 打m5_
  [Qwen] 打m8_
  [Qwen] 打z5_
  [Qwen] 打m7_
  [Qwen] 打m9_
  [Qwen] 打m7
  [Qwen] 打s2_
  [Qwen] 打m1
  [Qwen] 打m3
  [Qwen] 打m3
  [Qwen] 打m2
  [Qwen] 打m9
  [Qwen] 打s8_
  [Qwen] 打m4_
  [Qwen] 打m5
  [Qwen] 打s4_
  [Qwen] 打s8_
  [Qwen] 打p9_
  [Qwen] 打m5_
  [Qwen] 打s2_
  [Qwen] 打s9
  [Qwen] 打m3
  [Qwen] 打s6
  [Qwen] 打s1
  [Qwen] 打m5
  [Qwen] 打p3_
  [Qwen] 打p2
  [Qwen] 打s9
  [Qwen] 打s3
  [Qwen] 打p3
  [Qwen] 打m8_
  [Qwen] 打p5_
  [Qwen] 打p4_
  [Qwen] 打m5
  [Qwen] 打s9_
  [Qwen] 打m1_
  [Qwen] 打s6_
  [Qwen] 打s2_
  [Qwen] 打s6_
  [Qwen] 打m1_
  [Qwen] 打p9_
